# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-1940"			
"# Timestamp: Mon, 08-Jan-2024 16:00:09"			
Gene ID	Gene Name	NMIBC' vs 'normal' .foldChange	NMIBC' vs 'normal'.pValue
ENSG00000011465	DCN	0.7	0.049961722
ENSG00000011478	QPCTL	-0.6	0.001468733
ENSG00000011485	PPP5C	-0.8	0.049220684
ENSG00000011523	CEP68	-0.5	1.67E-07
ENSG00000011566	MAP4K3	-0.1	0.833382088
ENSG00000011590	ZBTB32	0.3	0.595951891
ENSG00000011600	TYROBP	1.3	0.022125502
ENSG00000011638	TMEM159	-0.2	0.785755537
ENSG00000011677	GABRA3	-0.9	0.018431339
ENSG00000012048	BRCA1	1.5	6.60E-08
ENSG00000012061	ERCC1	-0.1	0.462356495
ENSG00000012124	CD22	1.6	2.92E-09
ENSG00000012171	SEMA3B	0.6	0.039483601
ENSG00000012174	MBTPS2	-0.4	0.231692055
ENSG00000012211	PRICKLE3	1	0.018328338
ENSG00000012223	LTF	1.4	0.001224167
ENSG00000012232	EXTL3	-0.5	0.049336277
ENSG00000012660	ELOVL5	1.3	0.00821375
ENSG00000012779	ALOX5	1.8	0.00145475
ENSG00000012817	KDM5D	-0.1	0.916178493
ENSG00000012822	CALCOCO1	-0.1	0.731634259
ENSG00000012983	MAP4K5	1.1	0.007808474
ENSG00000013016	EHD3	-1	0.002423604
ENSG00000013275	PSMC4	-0.4	0.118672843
ENSG00000013288	MAN2B2	-0.3	0.328204444
ENSG00000013293	SLC7A14	-1	0.001399224
ENSG00000013297	CLDN11	1.4	8.29E-04
ENSG00000013306	SLC25A39	0.4	0.06466583
ENSG00000013364	MVP	1.3	6.07E-05
ENSG00000013375	PGM3	0.7	0.004090881
ENSG00000013392	RWDD2A	-0.5	0.008586296
ENSG00000013441	CLK1	0.8	6.51E-04
ENSG00000013503	POLR3B	-0.6	7.55E-05
ENSG00000013523	ANGEL1	0.5	0.005874543
ENSG00000013561	RNF14	-0.2	0.536818543
ENSG00000013563	DNASE1L1	-0.4	0.413545851
ENSG00000013573	DDX11	0.4	0.299544653
ENSG00000013583	HEBP1	0.6	3.26E-07
ENSG00000013588	GPRC5A	3.1	1.80E-07
ENSG00000013619	MAMLD1	0.1	0.556906677
ENSG00000013810	TACC3	0.4	0.418756913
ENSG00000014123	UFL1	0.9	0.022554565
ENSG00000014138	POLA2	0.8	0.010154743
ENSG00000014164	ZC3H3	-0.1	0.865993848
ENSG00000014216	CAPN1	-0.5	0.124780415
ENSG00000014257	ACP3	2.4	8.02E-04
ENSG00000014641	MDH1	-1.8	4.95E-12
ENSG00000014824	SLC30A9	-0.5	0.058870829
ENSG00000014914	MTMR11	0.6	0.029605722
ENSG00000014919	COX15	0.2	0.32314368
ENSG00000015133	CCDC88C	0.1	0.754277766
ENSG00000015153	YAF2	-0.2	0.477671092
ENSG00000015171	ZMYND11	0.5	0.116754782
ENSG00000015285	WAS	1.3	0.00210774
ENSG00000015475	BID	-0.5	0.017737138
ENSG00000015479	MATR3	0.8	0.070990013
ENSG00000015520	NPC1L1	1.5	0.050679288
ENSG00000015532	XYLT2	-0.2	0.241687213
ENSG00000015592	STMN4	0.1	0.646994743
ENSG00000015676	NUDCD3	-0.9	0.00157987
ENSG00000016391	CHDH	1.2	0.006859909
ENSG00000016402	IL20RA	1	0.033503618
ENSG00000016602	CLCA4	1.4	2.31E-04
ENSG00000017260	ATP2C1	0.2	0.310916104
ENSG00000017427	IGF1	-0.4	0.579247704
ENSG00000017483	SLC38A5	-0.4	0.247333774
ENSG00000017797	RALBP1	-0.1	0.401468884
ENSG00000018189	RUFY3	-0.1	0.769988938
ENSG00000018236	CNTN1	-0.1	0.628145477
ENSG00000018280	SLC11A1	2.7	1.34E-06
ENSG00000018408	WWTR1	1.7	5.07E-05
ENSG00000018510	AGPS	0.5	0.097773578
ENSG00000018607	ZNF806	0.1	0.902171076
ENSG00000018610	STEEP1	-0.3	0.131285032
ENSG00000018625	ATP1A2	0.9	0.118070267
ENSG00000018699	TTC27	0.4	0.029860518
ENSG00000018869	ZNF582	-0.1	0.71807985
ENSG00000019102	VSIG2	-0.8	0.038228636
ENSG00000019144	PHLDB1	1.3	4.02E-05
ENSG00000019169	MARCO	0.2	0.881598748
ENSG00000019186	CYP24A1	-1.1	0.083625817
ENSG00000019485	PRDM11	-0.6	0.001978667
ENSG00000019505	SYT13	-1.8	6.36E-05
ENSG00000019549	SNAI2	0.3	0.529693465
ENSG00000019582	CD74	0.9	0.116084096
ENSG00000019991	HGF	0.9	0.142287567
ENSG00000019995	ZRANB1	-0.1	0.53098432
ENSG00000020129	NCDN	-1.4	0.002476186
ENSG00000020181	ADGRA2	-0.3	0.374481457
ENSG00000020256	ZFP64	-0.1	0.588112457
ENSG00000020426	MNAT1	0.1	0.862970804
ENSG00000020577	SAMD4A	1.2	0.0010522
ENSG00000020633	RUNX3	1.4	0.003415348
ENSG00000021300	PLEKHB1	1.6	7.42E-08
ENSG00000021355	SERPINB1	1.1	6.66E-05
ENSG00000021461	CYP3A43	0.9	0.214636181
ENSG00000021488	SLC7A9	0.7	0.22082437
ENSG00000021574	SPAST	0.3	0.352180853
ENSG00000021645	NRXN3	-1.2	5.54E-20
ENSG00000021762	OSBPL5	-0.3	0.257488565
ENSG00000021826	CPS1	1	0.032964851
ENSG00000022267	FHL1	-0.3	0.015007439
ENSG00000022355	GABRA1	-2.2	1.41E-10
ENSG00000022556	NLRP2	-1.6	4.45E-04
ENSG00000022567	SLC45A4	-1.2	2.93E-04
ENSG00000022840	RNF10	-0.2	0.0150994
ENSG00000022976	ZNF839	-0.2	0.52466699
ENSG00000023041	ZDHHC6	-0.1	0.290070229
ENSG00000023171	GRAMD1B	-0.9	2.04E-05
ENSG00000023191	RNH1	0.2	0.372982095
ENSG00000023228	NDUFS1	-0.6	7.61E-04
ENSG00000023287	RB1CC1	0.1	0.766414634
ENSG00000023318	ERP44	0.3	0.110896399
ENSG00000023330	ALAS1	-0.6	0.025467346
ENSG00000023445	BIRC3	1.4	9.33E-10
ENSG00000023516	AKAP11	-0.5	0.050304362
ENSG00000023572	GLRX2	0.1	0.846859078
ENSG00000023697	DERA	1.2	4.83E-09
ENSG00000023734	STRAP	-0.2	0.357095426
ENSG00000023839	ABCC2	1.2	0.015551186
ENSG00000023892	DEF6	0.8	0.169893994
ENSG00000023902	PLEKHO1	-0.1	0.71489551
ENSG00000023909	GCLM	-0.1	0.676378599
ENSG00000024048	UBR2	0.1	0.714959026
ENSG00000024422	EHD2	0.6	4.72E-05
ENSG00000024526	DEPDC1	0.4	0.528416526
ENSG00000024862	CCDC28A	-0.3	0.183547484
ENSG00000025039	RRAGD	0.3	0.176596491
ENSG00000025156	HSF2	-0.1	0.588078396
ENSG00000025293	PHF20	-0.4	0.002722067
ENSG00000025423	HSD17B6	1	0.085003639
ENSG00000025434	NR1H3	0.3	0.142367709
ENSG00000025708	TYMP	2.3	6.82E-05
ENSG00000025770	NCAPH2	-0.3	0.331451422
ENSG00000025772	TOMM34	-1	0.002240603
ENSG00000025796	SEC63	0.3	0.226900252
ENSG00000025800	KPNA6	-0.3	0.088221884
ENSG00000026025	VIM	1.3	0.002469747
ENSG00000026036	RTEL1-TNFRSF6B	-0.1	0.867484676
ENSG00000026103	FAS	1.2	0.052302956
ENSG00000026297	RNASET2	0.8	0.092468742
ENSG00000026508	CD44	1.8	0.001330427
ENSG00000026559	KCNG1	0.1	0.938293576
ENSG00000026652	AGPAT4	0.3	0.348509053
ENSG00000026751	SLAMF7	0.5	0.525164163
ENSG00000026950	BTN3A1	0.9	4.40E-07
ENSG00000027001	MIPEP	0.1	0.701486472
ENSG00000027075	PRKCH	0.9	0.00604538
ENSG00000027697	IFNGR1	0.7	1.24E-05
ENSG00000027847	B4GALT7	-0.2	0.482026382
ENSG00000027869	SH2D2A	1	0.077048741
ENSG00000028116	VRK2	1.7	1.86E-05
ENSG00000028137	TNFRSF1B	1.7	5.43E-05
ENSG00000028203	VEZT	0.1	0.846512126
ENSG00000028277	POU2F2	0.5	0.019113676
ENSG00000028310	BRD9	-0.4	0.065314529
ENSG00000028528	SNX1	0.6	0.011720052
ENSG00000028839	TBPL1	-0.4	0.16491056
ENSG00000029153	ARNTL2	-0.9	0.013938174
ENSG00000029363	BCLAF1	-0.2	0.46477067
ENSG00000029364	SLC39A9	0.1	0.605832769
ENSG00000029534	ANK1	-2	3.80E-06
ENSG00000029639	TFB1M	-0.3	0.102847901
ENSG00000029725	RABEP1	0.3	0.246838076
ENSG00000029993	HMGB3	-0.2	0.37962778
ENSG00000030066	NUP160	0.5	0.016619156
ENSG00000030110	BAK1	-0.1	0.661328759
ENSG00000030304	MUSK	1.6	0.013929794
ENSG00000030419	IKZF2	1.6	1.70E-05
ENSG00000030582	GRN	0.5	0.283987999
ENSG00000031003	FAM13B	-0.8	5.28E-05
ENSG00000031081	ARHGAP31	1	0.023186216
ENSG00000031691	CENPQ	1.1	0.0027519
ENSG00000031698	SARS1	-1.1	6.94E-04
ENSG00000031823	RANBP3	-0.2	0.426845826
ENSG00000032219	ARID4A	0.1	0.873283361
ENSG00000032389	EIPR1	-0.6	0.008091386
ENSG00000032444	PNPLA6	-0.2	0.629654109
ENSG00000032742	IFT88	0.9	8.92E-04
ENSG00000033011	ALG1	-0.5	0.243782125
ENSG00000033030	ZCCHC8	0.6	0.023730491
ENSG00000033050	ABCF2	-0.8	2.43E-04
ENSG00000033100	CHPF2	-0.7	0.110729321
ENSG00000033122	LRRC7	-0.4	0.01527542
ENSG00000033170	FUT8	0.9	0.010395272
ENSG00000033178	UBA6	0.5	0.18347104
ENSG00000033327	GAB2	1.6	1.89E-06
ENSG00000033627	ATP6V0A1	-0.9	2.45E-04
ENSG00000033867	SLC4A7	0.3	0.255414734
ENSG00000034053	APBA2	-1	8.67E-04
ENSG00000034152	MAP2K3	0.3	0.108015955
ENSG00000034239	EFCAB1	-0.4	0.488064237
ENSG00000034510	TMSB10	-0.7	0.111281014
ENSG00000034533	ASTE1	-0.2	0.403051098
ENSG00000034677	RNF19A	0.2	0.239003428
ENSG00000034971	MYOC	1.3	0.110523102
ENSG00000035115	SH3YL1	0.2	0.258427763
ENSG00000035141	FAM136A	-0.3	0.200516609
ENSG00000035403	VCL	0.4	0.15027721
ENSG00000035499	DEPDC1B	-0.7	0.134328638
ENSG00000035664	DAPK2	0.8	0.008948411
ENSG00000035687	ADSS2	-0.3	0.308710541
ENSG00000035862	TIMP2	0.5	8.02E-04
ENSG00000035928	RFC1	0.6	0.04518691
ENSG00000036054	TBC1D23	0.3	0.340876628
ENSG00000036257	CUL3	-0.5	3.10E-05
ENSG00000036448	MYOM2	-0.7	0.004705276
ENSG00000036473	OTC	1.5	0.012308721
ENSG00000036530	CYP46A1	-0.6	0.114635538
ENSG00000036549	ZZZ3	0.5	0.038060766
ENSG00000036672	USP2	-0.8	1.91E-05
ENSG00000037042	TUBG2	-0.7	0.003468827
ENSG00000037241	RPL26L1	-0.5	0.109319592
ENSG00000037280	FLT4	0.7	0.019617316
ENSG00000037474	NSUN2	0.2	0.595364023
ENSG00000037637	FBXO42	-0.2	0.263558403
ENSG00000037749	MFAP3	-0.1	0.744590439
ENSG00000037757	MRI1	-0.3	0.161955374
ENSG00000037897	METTL1	-0.5	0.301871645
ENSG00000038002	AGA	0.4	0.258613589
ENSG00000038210	PI4K2B	1.2	0.011232572
ENSG00000038219	BOD1L1	-0.2	0.163327905
ENSG00000038274	MAT2B	-0.6	0.011102558
ENSG00000038295	TLL1	0.2	0.656664033
ENSG00000038358	EDC4	-0.3	0.526713295
ENSG00000038382	TRIO	-0.4	0.132878537
ENSG00000038427	VCAN	2.4	7.03E-11
ENSG00000038532	CLEC16A	-0.2	0.42256318
ENSG00000038945	MSR1	1.2	0.027285665
ENSG00000039068	CDH1	0.8	0.143306492
ENSG00000039123	MTREX	0.1	0.445539204
ENSG00000039139	DNAH5	-0.6	0.263023529
ENSG00000039319	ZFYVE16	0.8	0.133679035
ENSG00000039523	RIPOR1	-0.5	0.128307868
ENSG00000039560	RAI14	1.7	3.59E-05
ENSG00000039600	SOX30	-0.4	0.686043721
ENSG00000039650	PNKP	-0.3	0.324792446
ENSG00000040199	PHLPP2	-0.5	2.34E-06
ENSG00000040275	SPDL1	0.8	0.032387015
ENSG00000040341	STAU2	-1.1	6.57E-14
ENSG00000040487	SLC66A1	-0.1	0.702589412
ENSG00000040531	CTNS	0.6	0.015007439
ENSG00000040608	RTN4R	-1.4	9.21E-04
ENSG00000040633	PHF23	-0.5	0.030319589
ENSG00000040731	CDH10	-0.1	0.267786131
ENSG00000040933	INPP4A	-1.1	6.75E-04
ENSG00000041353	RAB27B	-1.4	1.41E-06
ENSG00000041357	PSMA4	-0.6	5.60E-04
ENSG00000041515	MYO16	-0.3	0.576379584
ENSG00000041802	LSG1	-0.2	0.268728831
ENSG00000041880	PARP3	-0.1	0.461690817
ENSG00000041982	TNC	1.5	0.002449626
ENSG00000041988	THAP3	-0.3	0.234745915
ENSG00000042062	RIPOR3	1.2	6.65E-05
ENSG00000042088	TDP1	-0.6	0.001473922
ENSG00000042286	AIFM2	0.1	0.53098432
ENSG00000042304	C2orf83	0.9	0.309609082
ENSG00000042317	SPATA7	-1	3.90E-06
ENSG00000042429	MED17	0.2	0.466142261
ENSG00000042445	RETSAT	0.1	0.313972948
ENSG00000042493	CAPG	1.2	0.001185864
ENSG00000042753	AP2S1	-0.9	0.015017489
ENSG00000042832	TG	0.3	0.589115639
ENSG00000042980	ADAM28	0.6	0.297817223
ENSG00000043039	BARX2	-0.9	0.201493578
